0610009B22Rik	1	chr11	-	51685386	51688874	51686092,	51688690,
1700003E16Rik	0	chr6	+	83156404	83162945	83156590,83161133,83161437,	83160912,83161216,83161557,
1700003F12Rik	0	chr2	+	154548888	154550003	154549067,154549395,	154549336,154549540,
1700006A11Rik	1	chr3	-	124400989	124426040	124401413,124406520,124407701,124409774,124412561,124413823,124414501,124416844,124419385,124419934,124421472,	124406331,124407592,124409616,124412386,124413565,124414312,124416735,124419224,124419756,124421377,124425936,
1700007K13Rik	1	chr2	-	28462001	28466332	28462434,28465215,	28465137,28466034,
1700008O03Rik	0	chr7	-	44360043	44375030	44360381,44361183,44362772,44363015,44374524,	44361050,44362652,44362943,44374323,44374987,
1700008P02Rik	1	chr3	-	6615418	6620443	6615577,6617373,6619686,	6617255,6619621,6620006,
1700009N14Rik	1	chr4	+	39450295	39451776	39450533,	39450758,
1700010B08Rik	0	chr2	+	173719415	173722089	173719918,173720275,	173720184,173721787,
1700010I14Rik	0	chr17	+	8988357	9008318	8988421,8992752,8993718,8995257,8997103,9001186,9001945,9005245,9005754,	8992046,8993596,8995198,8996979,9001128,9001770,9005192,9005693,9007897,
1700011L22Rik	0	chr8	-	79210431	79248570	79210757,79213551,79214965,79220305,79229393,	79213478,79214893,79220244,79229317,79248220,
1700011M02Rik	1	chrX	+	102908905	102909651	102909008,102909351,	102909188,102909500,
1700012A03Rik	0	chr6	+	32050285	32058915	32050371,32051730,	32051333,32058483,
1700012B07Rik	0	chr11	-	109787651	109828046	109788821,109791794,109794279,109797411,109813746,	109791636,109794106,109797278,109813559,109827838,
1700012B09Rik	0	chr9	-	14758191	14771030	14758455,14761730,14766961,	14761605,14766857,14770839,
1700012P22Rik	0	chr4	-	144418189	144438772	144418585,144419850,144423892,	144419673,144423779,144438488,
1700013F07Rik	1	chr3	+	108537541	108544723	108537699,108542601,108543554,108544160,	108542488,108543439,108544036,108544577,
1700013G24Rik	0	chr4	+	137453284	137455461	137453355,	137454486,
1700013H16Rik	1	chrX	-	53742901	53757831	53743186,53743456,53745751,53747041,53747940,53750048,53751086,53751856,	53743352,53745653,53746942,53747823,53750014,53751023,53751510,53757762,
1700014D04Rik	1	chr13	-	59740842	59744917	59744022,	59744868,
1700015F17Rik	1	chr5	-	5437827	5479143	5437917,5450654,5452067,5455990,5457378,5466671,	5450608,5452009,5455897,5457285,5466625,5478866,
1700015G11Rik	0	chr7	-	52011683	52015728	52011838,52013586,52014900,	52013482,52014856,52015638,
1700016C15Rik	0	chr1	+	177729814	177753324	177729961,177733552,177741090,177743426,177753035,	177733475,177740995,177743254,177752916,177753172,
1700016D06Rik	1	chr8	-	11654924	11678750	11655681,11656189,11661755,11662691,11665098,	11656109,11661672,11662590,11665036,11678576,
1700016H13Rik	0	chr5	-	103648039	103656010	103648954,103649576,103655056,	103649422,103654922,103655770,
1700016K19Rik	0	chr11	+	75999912	76003569	76000266,	76003004,
1700017B05Rik	0	chr9	-	57253117	57262612	57254329,57259140,	57256386,57262429,
1700017D01Rik	0	chr19	-	11096816	11130876	11097067,11101924,11105796,11110361,11112459,11116516,	11101804,11105677,11110308,11112316,11116407,11130486,
1700017N19Rik	1	chr10	+	100592408	100618401	100592696,100594656,100595155,100602022,100603420,100603614,100605725,100609254,100610715,100612533,100612953,100615290,	100594537,100595035,100601864,100603343,100603501,100605615,100609150,100610596,100612429,100612750,100615198,100618076,
1700018B08Rik	0	chr8	-	121530780	121541954	121531041,121531914,121533731,121535569,121540007,121540580,	121531698,121533695,121535423,121539867,121540537,121541719,
1700018F24Rik	1	chr5	+	145042990	145045681	145043168,145043556,145044144,145044915,	145043375,145044097,145044719,145045166,
1700018G05Rik	1	chrX	+	102928372	102929094	102928463,102928795,	102928653,102928944,
1700019A02Rik	0	chr1	-	53158577	53187636	53158788,53163245,53170260,53170458,53177827,53181895,53182544,53185290,	53163226,53170238,53170388,53177770,53181843,53182495,53185215,53187554,
1700019D03Rik	0	chr1	-	52925183	53020179	52925734,	53020094,
1700019N19Rik	0	chr19	-	58785803	58794461	58786126,58786311,58787721,58789297,58792796,	58786214,58787535,58789079,58792736,58794381,
1700020A23Rik	0	chr2	+	130405259	130406070	130405289,130405703,	130405504,130405781,
1700020L24Rik	0	chr11	+	83437677	83441233	83437757,83440596,	83440287,83440676,
1700020N01Rik	0	chr10	+	21593145	21622376	21593234,21593572,	21593332,21621646,
1700020N15Rik	1	chrX	+	69945300	69945978	69945450,	69945605,
1700021F05Rik	0	chr10	-	43525133	43540968	43525408,43530670,43533157,	43530598,43532676,43540940,
1700021F07Rik	0	chr2	+	173522586	173528501	173522731,173526085,173527946,	173526004,173527845,173528186,
1700022I11Rik	0	chr4	+	42969946	42974326	42970209,	42970864,
1700023F06Rik	0	chr11	-	103198944	103208548	103199118,103199470,103199822,103200183,103200339,103200934,103201142,103201488,103201762,	103199318,103199647,103200063,103200268,103200791,103201096,103201264,103201717,103208509,
1700024B05Rik	1	chr14	+	41943995	42003821	41944329,41996333,41997420,41998282,	41996171,41997289,41998102,42003057,
1700024G13Rik	0	chr14	-	32376068	32388391	32376661,32377971,	32377852,32388256,
1700025B11Rik	1	chr15	-	77558239	77561892	77558527,77559049,77559160,	77558894,77559118,77561828,
1700025C18Rik	0	chr2	-	165078693	165090750	165079057,165090575,	165090290,165090700,
1700025F22Rik	0	chr19	-	11139664	11165320	11139806,11141638,11142453,11146785,11163491,11165050,	11141527,11142337,11146729,11163400,11164971,11165272,
1700028J19Rik	0	chr7	-	44229811	44236184	44230641,44230910,44231472,44232556,	44230782,44231326,44232356,44236069,
1700028K03Rik	0	chr5	+	107534720	107551542	107534808,107539223,107541161,107544013,107545856,107546279,	107539130,107540954,107543920,107545688,107546201,107549085,
1700028P14Rik	0	chr19	-	23558753	23652812	23559037,23572542,23592177,23593145,23616624,	23572485,23592109,23593027,23616519,23652575,
1700029F12Rik	0	chr13	-	97021864	97034362	97022588,97030422,	97030201,97034182,
1700029H14Rik	0	chr8	-	13550733	13562448	13551118,13551921,13554732,13555989,13557702,13558672,13558921,13560133,	13551648,13554654,13555925,13557652,13558625,13558759,13560082,13562159,
1700029I15Rik	0	chr2	+	92382918	92383603	92383051,92383281,	92383208,92383448,
1700029J07Rik	0	chr8	-	45953606	45975252	45953812,45956566,45962433,45967931,45968164,45970573,	45956397,45962254,45967856,45968027,45970354,45973504,
1700030J22Rik	0	chr8	-	116969594	116978943	116972156,116973699,	116973452,116978779,
1700030K09Rik	0	chr8	+	72443880	72461001	72443989,72445470,72449741,72451432,72455567,72458068,72458769,	72444750,72449450,72451359,72455114,72457973,72458603,72460029,
1700031F05Rik	0	chrX	-	102859186	102866353	102859757,102860977,102861208,102864281,102864712,102865168,	102860746,102861142,102864145,102864654,102865015,102866214,
1700031L13Rik	0	chr5	-	82122408	82124710	82123114,	82124606,
1700034E13Rik	1	chr18	+	52646209	52663733	52646306,52656540,52660571,	52656497,52660391,52663567,
1700034J05Rik	0	chr6	-	146950329	146954422	146952500,146953586,	146952886,146954289,
1700037C18Rik	0	chr16	-	3904303	3908689	3906300,3907194,	3906841,3908450,
1700037H04Rik	0	chr2	-	131146325	131160020	131146975,131147283,131148294,131151760,131153710,	131147161,131148156,131151618,131153594,131159953,
1700040F15Rik	1	chrY	+	61102247	61134259	61102290,61103786,61115177,61115762,61122859,61123453,61130704,61131554,61133667,	61103655,61115111,61115728,61122793,61123419,61130587,61131455,61133569,61134026,
1700042G07Rik	0	chr4	+	116173372	116174290	116173629,	116174164,
1700047I17Rik2	0	chr12	+	55199592	55217168	55199786,55205853,55210798,55212279,	55205680,55210732,55212182,55213840,
1700049E17Rik1	1	chr14	+	41924949	41933041	41925104,41925995,41927072,41927934,	41925833,41926941,41927753,41931914,
1700049E17Rik2	1	chr14	+	41573211	41581305	41573366,41574257,41575334,41576196,	41574095,41575203,41576015,41580182,
1700057G04Rik	1	chr9	+	92309377	92357876	92309432,92343683,92347844,92351146,92352696,92354706,	92343451,92347802,92350926,92352535,92354545,92357702,
1700061G19Rik	0	chr17	+	56875477	56888904	56875680,56876396,56877589,56880539,56881066,56882247,56882690,56882986,56883497,56883860,56884968,56885223,56886687,	56876088,56877363,56880451,56880946,56882167,56882541,56882780,56883316,56883627,56884751,56885084,56886441,56888637,
1700064H15Rik	0	chr3	-	19610368	19628677	19610571,	19628488,
1700066B19Rik	0	chr18	+	35726989	35730869	35727096,	35728474,
1700066M21Rik	0	chr1	+	57377620	57385423	57377946,	57382743,
1700067K01Rik	0	chr8	+	84001704	84004670	84001905,84003002,84003216,84003481,84004059,	84002861,84003116,84003296,84003925,84004451,
1700067P10Rik	0	chr17	+	48089319	48090918	48089691,48090071,	48090024,48090235,
1700069L16Rik	0	chr5	-	113703697	113724749	113703948,113723865,	113723700,113724631,
1700074P13Rik	1	chr6	-	40920460	40940557	40921141,40921852,40926227,40928680,40929566,40939250,	40921707,40925977,40928512,40929441,40939183,40940353,
1700080O16Rik	1	chrX	-	51968695	51972772	51969869,51970285,51971075,	51970215,51970910,51972731,
1700084M14Rik	0	chrX	-	91575210	91575911	91575564,	91575708,
1700086D15Rik	0	chr11	-	65151910	65159891	65152644,65153069,65153393,	65152927,65153203,65159869,
1700088E04Rik	0	chr15	-	79134661	79141253	79135222,79135453,79135765,79136489,79139300,79140992,	79135353,79135637,79136307,79139238,79140881,79141155,
1700092M07Rik	0	chr19	+	8740718	8741225	8740846,	8740975,
1700093K21Rik	0	chr11	-	23516203	23519942	23516610,23517380,23518142,23518976,	23517212,23518041,23518781,23519498,
1700094D03Rik	0	chr3	+	90062796	90065875	90062883,90063249,90064554,	90063209,90064425,90065510,
1700102P08Rik	0	chr9	+	108392834	108397770	108392859,108393639,108395385,	108393235,108395294,108397193,
1700109H08Rik	1	chr5	+	3571673	3584356	3571810,3575778,3577344,3580556,3582247,	3575623,3577240,3580405,3582143,3584240,
1700113H08Rik	0	chr10	+	87058046	87230588	87058159,87074051,87121478,87165134,87226236,	87073958,87121410,87165023,87225877,87230006,
1700122O11Rik	0	chr17	-	48036745	48038293	48037281,48037568,	48037415,48038214,
1700123K08Rik	1	chr5	-	138561840	138564694	138562007,138562551,138563015,138563587,138564345,	138562287,138562819,138563540,138564143,138564529,
1700123O20Rik	0	chr14	+	54686216	54690741	54687120,	54689804,
1700125H20Rik	0	chr11	+	85171096	85181145	85171227,85172935,85173363,85174116,85178452,	85172834,85173188,85174017,85178257,85180886,
1700129C05Rik	1	chr14	-	59133040	59142893	59133418,59139675,59140102,59142193,	59139604,59140004,59142113,59142458,
1810009A15Rik	1	chr19	+	8888853	8890881	8888964,8889248,8890100,	8889124,8890003,8890411,
1810009J06Rik	1	chr6	+	40964754	40968435	40964828,40966325,40966860,40967546,	40966163,40966607,40967410,40968183,
1810010H24Rik	0	chr11	+	107028223	107030443	107028268,107028557,	107028363,107029585,
1810013L24Rik	0	chr16	+	8830100	8858922	8830685,8831401,8843243,	8831321,8842968,8855794,
1810020O05Rik	0	chr6	-	87675593	87722801	87675896,87679983,87680271,87681268,87690845,87694920,87698959,87700483,87707394,87712267,87713374,87714266,87718081,87718975,87722106,	87679827,87680065,87681104,87690548,87694726,87698055,87700299,87707242,87712146,87713302,87714123,87717877,87718788,87721838,87722694,
1810024B03Rik	1	chr2	-	127186355	127208280	127187514,	127208175,
1810030O07Rik	0	chrX	-	12654879	12673668	12656486,12658024,12662829,12664649,12669646,12673160,	12657862,12662650,12664500,12669527,12673026,12673326,
1810037I17Rik	0	chr3	+	122924203	122926184	122924656,	122925479,
1810046K07Rik	0	chr9	-	51289686	51328924	51290448,51291845,51294999,51318390,	51291547,51294957,51318281,51328808,
1810055G02Rik	1	chr19	+	3708333	3717881	3708436,3714625,3715802,	3714404,3715638,3716491,
1810058I24Rik	0	chr6	+	35252654	35263496	35252782,35260463,	35260410,35261159,
1810062G17Rik	0	chr3	+	36475937	36482299	36476239,36479567,	36479484,36481776,
1810065E05Rik	1	chr11	+	58421111	58426024	58421190,58421770,58422306,58422884,58423946,	58421681,58422196,58422732,58423815,58425665,
2010003K11Rik	0	chr19	-	4496788	4498583	4497614,	4498244,
2010106E10Rik	0	chrX	+	112495275	112558333	112495419,112497978,112512583,112515312,112556332,112557107,	112497873,112512392,112515189,112556250,112556969,112557847,
2010109A12Rik	0	chr5	+	93206518	93213475	93206723,93208194,	93208099,93213229,
2010300C02Rik	1	chr1	-	37611677	37720085	37612396,37613481,37614668,37626068,37628426,37631482,37631951,37638029,37644640,	37613337,37614481,37623761,37628217,37631321,37631816,37637861,37644561,37719570,
2010315B03Rik	1	chr9	-	124291804	124312696	124294101,124295158,124295484,	124295098,124295358,124312560,
2200002D01Rik	0	chr7	-	29246561	29248466	29247734,29247965,29248240,	29247897,29248128,29248357,
2200002J24Rik	1	chr7	+	30699783	30700380	30699980,	30700246,
2210010C04Rik	1	chr6	-	41030268	41035509	41031784,41032441,41033195,41034406,	41032305,41032942,41034244,41035439,
2210011C24Rik	0	chr8	-	84010222	84012158	84010492,84010772,	84010711,84011141,
2210016F16Rik	0	chr13	-	58379817	58385225	58382009,58382603,58384409,	58382408,58384150,58384824,
2210016L21Rik	0	chr5	+	114942158	114949783	114942355,114945828,114946116,114946364,114947253,	114945786,114946018,114946291,114947163,114947682,
2210017I01Rik	0	chr3	-	92604718	92607492	92605271,	92607225,
2210407C18Rik	1	chr11	-	58608204	58616075	58608512,58610812,58612134,58612627,58612895,58613468,	58610678,58611979,58612514,58612806,58613416,58615935,
2210418O10Rik	1	chr2	+	176226569	176240328	176226686,176230179,176235445,176235711,	176230125,176235319,176235651,176236867,
2300002M23Rik	0	chr17	+	35567450	35568952	35567620,	35567834,
2300009A05Rik	0	chr9	-	63394447	63399241	63394675,	63398876,
2310002L09Rik	1	chr4	-	73939371	73950846	73939598,73943234,	73942779,73950573,
2310003L06Rik	0	chr5	+	87969459	87972870	87969556,87970712,	87970639,87971440,
2310009A05Rik	0	chr9	+	73039718	73042779	73039865,	73042432,
2310009B15Rik	1	chr1	-	138851983	138856852	138852173,138853672,	138853571,138856581,
2310011J03Rik	0	chr10	-	80318254	80320537	80319547,	80320183,
2310022A10Rik	0	chr7	+	27553233	27582099	27553353,27556534,27560603,27564573,27564774,27565728,27571701,27574740,27578783,	27556414,27560552,27564486,27564660,27565647,27571564,27574591,27578713,27580337,
2310022B05Rik	0	chr8	-	124635756	124663369	124637964,124639615,124651421,	124639091,124651371,124662848,
2310030G06Rik	0	chr9	-	50739691	50746536	50740749,50741360,50742298,	50741296,50742261,50746442,
2310033P09Rik	0	chr11	+	59208321	59210738	59208673,59208865,59209051,59209200,59209393,59210104,	59208820,59208969,59209128,59209308,59209973,59210227,
2310034G01Rik	0	chr19	-	46348201	46350302	46349466,	46350196,
2310046K23Rik	0	chr3	-	92532505	92534511	92533143,	92534474,
2310050C09Rik	1	chr3	-	92868359	92870216	92869395,	92870176,
2310057J18Rik	0	chr10	-	28972366	28986303	28972679,28974088,28981586,28982605,28984014,	28973850,28981486,28982421,28983928,28985992,
2310057M21Rik	0	chr7	-	131338220	131362759	131343804,131351102,131357666,131360961,131361936,	131350651,131357460,131360889,131361733,131362508,
2310061I04Rik	0	chr17	-	35892677	35897431	35892966,35893109,35895119,35895372,35896072,	35893040,35894919,35895284,35895671,35897191,
2410002F23Rik	0	chr7	+	44246722	44252319	44246823,44248295,44249599,44250059,44250340,	44248252,44249542,44250021,44250309,44250613,
2410004B18Rik	0	chr3	+	145938014	145944829	145938328,145939096,	145938898,145943797,
2410004P03Rik	0	chr12	-	17003319	17011727	17005998,17007236,17008312,17011351,	17007020,17008273,17011128,17011452,
2410131K14Rik	0	chr5	+	118245227	118266093	118245458,118255826,118259127,118259488,	118255670,118258976,118259375,118261100,
2410137M14Rik	1	chr17	-	36977701	36981237	36978106,36978546,36978933,	36978469,36978651,36981140,
2410141K09Rik	1	chr13	-	66429892	66441078	66432231,66433478,66433805,	66433418,66433679,66441020,
2510002D24Rik	1	chr16	+	18836578	18840160	18836619,18836873,	18836706,18839090,
2510009E07Rik	0	chr16	-	21649045	21694665	21653758,	21694216,
2510039O18Rik	0	chr4	+	147940895	147947314	147942057,147945461,	147944608,147946601,
2610001J05Rik	0	chr6	-	13867735	13871518	13870740,13871146,	13871056,13871439,
2610002M06Rik	1	chrX	-	107782751	107816334	107787853,107788338,107790779,107793006,107793161,107793654,107807889,	107788266,107790736,107792899,107793093,107793508,107807792,107816135,
2610008E11Rik	1	chr10	-	79064374	79097600	79068051,79068728,79088379,79092504,79094557,	79068634,79088287,79092412,79094431,79097458,
2610021A01Rik	1	chr7	+	41599261	41628533	41599400,41611925,41612497,41613251,41624832,	41611676,41612371,41613156,41624723,41625253,
2610028H24Rik	0	chr10	+	76449081	76461095	76449321,76450669,76451386,76452948,76454819,76457616,76458162,	76450633,76451313,76452784,76454705,76457501,76457880,76460487,
2610042L04Rik	1	chr14	+	4334763	4354688	4334796,4339643,4348968,4350053,4350910,	4339506,4348806,4349922,4350728,4353453,
2610044O15Rik8	1	chr8	-	129218117	129234018	129220151,129221604,129221950,	129221544,129221824,129233905,
2610301B20Rik	0	chr4	+	10874498	10899421	10874772,10879610,10881868,10882472,10893358,	10879523,10881801,10882407,10893263,10897899,
2610318N02Rik	0	chr16	-	17113399	17125140	17113626,17117584,17117864,17118512,17121079,17121551,	17117480,17117794,17118292,17120956,17121296,17124990,
2610507B11Rik	0	chr11	+	78261752	78290623	78261917,78262828,78263639,78264059,78264582,78265239,78265762,78266474,78266719,78267003,78267242,78268217,78268489,78268897,78269693,78272383,78272969,78273299,78273559,78273902,78274655,78274887,78275209,78277334,78279204,78279915,78283158,78284282,78284860,78285593,78285796,78286693,78287382,78287794,78288067,78288295,78289042,78289420,	78262699,78263590,78263912,78264464,78265179,78265573,78266351,78266595,78266936,78267097,78268099,78268326,78268639,78269488,78271291,78272778,78273097,78273441,78273682,78274465,78274788,78275007,78277040,78279047,78279709,78283059,78284100,78284739,78285438,78285675,78286513,78287296,78287684,78287932,78288165,78288941,78289286,78289804,
2610528A11Rik	0	chr14	-	37102142	37110101	37102691,37107454,	37107374,37109979,
2610528J11Rik	0	chr4	+	118527243	118530228	118527337,118529311,	118529199,118529479,
2700049A03Rik	0	chr12	+	71136848	71243303	71138038,71139728,71140934,71142119,71148418,71150464,71152797,71154923,71157170,71158957,71160408,71161196,71162800,71164558,71167260,71170706,71173239,71176003,71178022,71179158,71184622,71187537,71188807,71189654,71190965,71193389,71194466,71216196,71219299,	71139655,71140865,71142050,71148244,71150243,71152650,71154762,71157047,71158828,71160191,71161124,71162576,71164384,71167066,71170519,71173129,71175923,71177829,71179040,71184423,71187381,71188588,71189407,71190895,71193267,71194292,71216042,71219191,71242944,
2700062C07Rik	0	chr18	+	24470869	24477798	24470980,24471084,24473149,24475724,	24471062,24472950,24475525,24477269,
2700081O15Rik	0	chr19	+	7417625	7425904	7417917,7420561,7421644,7422462,	7420067,7421255,7421914,7422643,
2700097O09Rik	1	chr12	-	55045661	55080110	55045943,55048977,55053407,55057352,55059578,55061193,55063109,	55048887,55053301,55057242,55059457,55061055,55062988,55079981,
2810004N23Rik	0	chr8	-	124838488	124863120	124839966,124840506,124841380,124841782,124842419,124861271,	124840448,124841294,124841687,124842363,124860946,124862885,
2810006K23Rik	0	chr5	+	124328098	124341844	124328229,124338935,	124338627,124340609,
2810021J22Rik	1	chr11	+	58867216	58883288	58867309,58869006,58876820,58878868,	58868815,58876694,58878776,58879929,
2810408A11Rik	1	chr11	-	69897363	69900957	69897492,69897754,69898150,69898410,69899092,69899287,69899588,69899810,	69897619,69898103,69898252,69898847,69899199,69899517,69899706,69900303,
2810459M11Rik	0	chr1	+	86045863	86055456	86046572,86048701,	86048588,86052950,
2900026A02Rik	1	chr5	-	113086323	113163351	113091024,113092497,113093244,113094084,113095764,113097838,113101577,	113092415,113093102,113093966,113095590,113097598,113101459,113163058,
2900092C05Rik	0	chr7	+	12512517	12556323	12512699,12512908,12515497,12550583,12554775,	12512816,12515456,12550484,12554618,12556013,
3110001I22Rik	1	chr16	+	13672020	13678385	13672078,	13676834,
3110009E18Rik	0	chr1	+	120121195	120188189	120121217,120150747,120160656,120166172,120171482,	120150603,120160606,120166135,120171401,120188041,
3110021N24Rik	0	chr4	+	108719649	108781904	108719812,108723912,108727545,	108723807,108727456,108780453,
3110040N11Rik	0	chr7	-	81782182	81789478	81782581,81783138,81786204,81788576,	81783031,81786077,81788450,81789355,
3110082I17Rik	0	chr5	-	139359739	139460502	139360730,139361388,139364163,139455546,	139361307,139363973,139455417,139460469,
3110082J24Rik	0	chr5	-	30103584	30106086	30103918,30105414,	30105063,30106007,
3300002I08Rik	1	chr2	-	150310935	150362765	150311218,150344369,150344706,	150344309,150344580,150362588,
3425401B19Rik	0	chr14	-	32659119	32685272	32664178,32667939,32668450,	32667817,32668357,32685003,
3830403N18Rik	1	chrX	+	56136572	56153498	56136625,56138096,56138474,56138779,56147193,56147987,56152753,	56137971,56138411,56138745,56147076,56147888,56152655,56153073,
3830406C13Rik	1	chr14	+	12284173	12303231	12284257,12285468,12287393,12297656,	12285385,12287270,12297582,12301148,
3830417A13Rik	1	chrX	+	64173548	64178778	64173691,64176013,64176862,	64175928,64176792,64177431,
4430402I18Rik	1	chr19	-	28923530	28967800	28923702,28927750,28928632,28938419,28939169,28941814,28944454,28945831,28948743,28954131,28959728,28963673,	28927649,28928548,28938232,28939135,28941712,28944224,28945751,28948619,28954090,28959680,28963536,28967594,
4833420G17Rik	0	chr13	+	119462768	119486117	119463119,119466304,119466956,119470161,119472240,119473956,119474924,119476006,119477854,119479522,119481030,119484493,	119466011,119466867,119469515,119472139,119473833,119474833,119475937,119477684,119479428,119480935,119484453,119485727,
4833423E24Rik	0	chr2	-	85483594	85519024	85484192,85485555,85487060,85488844,85490443,85490745,85493311,85494230,85500313,85502228,85508454,	85485430,85486981,85488748,85490346,85490669,85493251,85494105,85500212,85502031,85508344,85518428,
4833427G06Rik	1	chr9	-	51081115	51102078	51081530,51083631,51086173,51100070,51101092,	51083579,51086114,51100000,51101054,51101745,
4833439L19Rik	0	chr13	-	54551218	54565435	54552817,54553037,54553304,54556651,54559324,54561871,54564272,54564621,	54552898,54553198,54556527,54559198,54561693,54564185,54564515,54565182,
4921504E06Rik	0	chr2	-	19462837	19553914	19463186,19475607,19475772,19477873,19480439,19480594,19480983,19494232,19495128,19511847,19516313,19517683,19524121,19533836,19540412,19542495,	19475559,19475692,19477786,19480374,19480515,19480921,19493984,19495057,19511782,19516255,19517536,19523966,19533762,19540269,19542375,19553774,
4921507P07Rik	0	chr6	-	50573302	50596632	50574516,50577512,50577965,50584018,50584524,50587207,50589182,50591813,50595953,	50577421,50577791,50583930,50584343,50587178,50589111,50591637,50595798,50596443,
4921509C19Rik	1	chr2	-	151470542	151476153	151471053,151471356,151473800,	151471283,151471868,151475989,
4921511M17Rik	0	chrX	-	154022780	154033827	154023584,154032532,	154032423,154033759,
4921517D22Rik	0	chr13	-	59687402	59694108	59689701,59690944,59691656,59693566,	59690449,59691558,59693385,59694037,
4921524J17Rik	0	chr8	-	85408759	85432833	85409890,85412295,85426956,	85412113,85426860,85432659,
